replicas,MDStep Avg,Total Runtime,Task Resubmissons,Num Replica Exchanges,Acceptance Rate
12,34.47138031005859,3454.907556772232,0,93,93.0
24,37.3694572019577,3744.835396051407,0,98,98.0
36,40.494744713306424,4061.7456068992615,0,98,98.0
48,40.88077439069748,4102.284227848053,0,98,98.0
60,40.66476768493652,4080.5766594409943,0,99,99.0
72,41.23460164785385,4137.888695478439,0,100,100.0
84,40.98805263519287,4118.146266460419,0,100,100.0
96,40.993130838871004,4116.202877521515,0,99,99.0
108,41.67914573192596,4190.804010152817,0,99,99.0
120,42.21525420427322,4241.5913207530975,0,100,100.0
132,41.89571380376816,4211.413477897644,0,100,100.0
144,41.94825875759125,4217.854089021683,0,99,99.0
156,42.02989671468735,4228.001405715942,0,99,99.0
168,41.973343081474304,4221.677418231964,0,100,100.0
180,41.84403202056885,4212.932698249817,0,100,100.0
192,42.20347059965134,4246.799773693085,0,99,99.0
12,9.876789593696595,144.4347538948059,0,9,90.0
5,8.209410405158996,101.43603992462158,0,8,80.0
5,8.732591581344604,110.69650101661682,0,10,100.0
5,7.355871963500976,92.13849592208862,0,10,100.0
5,8.164259004592896,98.28110694885254,0,9,90.0
5,6.235339331626892,81.21867275238037,0,8,80.0
5,7.364774179458618,48.291510820388794,0,5,100.0
5,6.308972406387329,43.00646090507507,0,5,100.0
5,7.519839334487915,56.13520002365112,0,4,80.0
5,7.165037155151367,46.47702598571777,0,5,100.0
5,7.098181343078613,46.443203926086426,0,5,100.0
5,7.322848129272461,47.265175104141235,0,4,80.0
