X Replicas    WQ            COS         MAP         REDIS
1  12         96.275        82.068      62.556      57.581
2  24         119.076       90.988      67.623      62.413
3  36         135.853       90.134      67.555      67.695
4  48         163.150       93.343      69.132      68.371
5  60         166.652       94.785      69.330      68.009
6  72         166.083       95.269      69.851      68.964
7  84         168.645       98.517      71.172      68.635
8  96         166.075       103.294     70.782      68.603
9  108        165.023       101.169     70.883      69.846
10 120        169.035       104.647     71.565      70.693
11 132        167.080       103.869     71.410      70.190
12 144        167.677       104.655     71.574      70.297
13 156        170.567       102.865     72.323      70.466
14 168        170.585       103.730     71.110      70.361
15 180        170.330       108.879     70.799      70.215
16 192        169.578       114.970     70.799      70.779
